id;nome;descricao;preco_reais;estoque;torra;nota_sensorial;pontuacao_sca;peso_g;categoria;regiao
4;Alta Mogiana do Cerrado;Acaia despolpado, secagem lenta em estufa. Corpo aveludado e acidez baixa — perfeito para quem acha cafe especial acido demais.;68;35;MEDIA;Caramelo, avela, baunilha;85;250;Cerrado Mineiro;Minas Gerais
6;Cerrado Reserva;Lote de fazenda familiar em Patrocinio, terceira geracao. Torra media escura pensada para leite.;55;47;ESCURA;Chocolate meio amargo, castanha de caju, especiarias;83.25;500;Cerrado Mineiro;Minas Gerais
5;Vereda do Cerrado;Microlote de Mundo Novo com fermentacao anaerobica. Producao limitada de 40 sacas por safra.;96;12;CLARA;Frutas amarelas, mel silvestre, jasmim;88.75;250;Cerrado Mineiro;Minas Gerais
11;Chapada Geisha;Variedade Geisha adaptada a Bahia. Sete anos de lavoura para chegar a este perfil. O cafe mais premiado da casa.;148;1;CLARA;Bergamota, jasmim, pessego branco, cha preto;91;250;Chapada Diamantina;Bahia
12;Morro do Chapeu;Producao agroecologica de cooperativa local, sombreamento natural. Corpo medio e acidez citrica.;71;28;MEDIA;Tangerina, castanha, cacau;85.75;250;Chapada Diamantina;Bahia
10;Piata Altitude;Cultivado a 1.150 m no semiarido baiano. A amplitude termica de 20 graus entre dia e noite concentra os açucares no grao.;89;8;CLARA;Limao siciliano, flor de laranjeira, mel;89.25;250;Chapada Diamantina;Bahia
1;Fazenda Serra Negra;Bourbon amarelo cultivado a 1.100 m, colhido em derriça seletiva e secado em terreiro suspenso. Um cafe de corpo redondo para quem gosta de espresso doce.;62;39;MEDIA;Castanha-do-para, chocolate ao leite, caramelo;84.5;250;Mogiana Paulista;Sao Paulo
3;Mogiana Classica;Blend de talhao unico da mesma fazenda, torra mais escura para coador e prensa francesa. O cafe de todo dia da casa.;48;60;ESCURA;Cacau, nozes, tabaco doce;82;500;Mogiana Paulista;Sao Paulo
2;Sitio Boa Vista;Catuai vermelho de lote pequeno, fermentacao natural de 36 horas. Doçura alta e final prolongado.;74;25;MEDIA;Melado de cana, amendoa torrada, laranja madura;86.25;250;Mogiana Paulista;Sao Paulo
8;Carmo de Minas Natural;Referencia do Sul de Minas em cafe natural. Secagem em terreiro por 18 dias, revolvido a mao.;78;30;MEDIA;Morango, chocolate ao leite, panela;86;250;Sul de Minas;Minas Gerais
7;Serra da Mantiqueira;Cultivado a 1.250 m na divisa com Sao Paulo. Maturacao lenta e acidez malica bem definida.;82;22;CLARA;Maça verde, ameixa, chocolate branco;87.5;250;Sul de Minas;Minas Gerais
9;Varginha Tradicional;Catuai amarelo de safra plena. O equilibrio classico mineiro: nada dominante, tudo no lugar.;44;75;MEDIA;Achocolatado, amendoim, cana-de-acucar;82.75;500;Sul de Minas;Minas Gerais
